iter	Passed	Remaining
1071	4417	2175
1072	4421	2171
1073	4425	2167
1074	4429	2163
1075	4432	2158
1076	4437	2154
1077	4441	2150
1078	4444	2146
1079	4448	2142
1080	4452	2137
1081	4456	2133
1082	4461	2129
1083	4465	2125
1084	4469	2121
1085	4473	2117
1086	4477	2113
1087	4481	2109
1088	4490	2107
1089	4496	2103
1090	4500	2099
1091	4504	2095
1092	4508	2091
1093	4512	2087
1094	4516	2082
1095	4520	2078
1096	4524	2074
1097	4528	2070
1098	4532	2066
1099	4536	2061
1100	4539	2057
1101	4543	2053
1102	4547	2049
1103	4551	2044
1104	4555	2040
1105	4559	2036
1106	4563	2032
1107	4567	2028
1108	4571	2023
1109	4575	2019
1110	4579	2015
1111	4584	2011
1112	4588	2007
1113	4592	2003
1114	4596	1999
1115	4600	1995
1116	4604	1991
1117	4608	1986
1118	4612	1982
1119	4616	1978
1120	4620	1974
1121	4624	1970
1122	4628	1965
1123	4632	1961
1124	4636	1957
1125	4640	1953
1126	4644	1949
1127	4647	1944
1128	4653	1941
1129	4657	1937
1130	4661	1932
1131	4664	1928
1132	4668	1924
1133	4672	1920
1134	4676	1916
1135	4680	1911
1136	4684	1907
1137	4688	1903
1138	4692	1899
1139	4696	1895
1140	4700	1890
1141	4704	1886
1142	4708	1882
1143	4713	1878
1144	4716	1874
1145	4720	1870
1146	4724	1866
1147	4728	1861
1148	4732	1857
1149	4736	1853
1150	4740	1849
1151	4744	1845
1152	4748	1840
1153	4752	1836
1154	4756	1832
1155	4760	1828
1156	4764	1824
1157	4768	1820
1158	4775	1817
1159	4780	1813
1160	4785	1809
1161	4789	1805
1162	4793	1801
1163	4797	1797
1164	4801	1792
1165	4805	1788
1166	4809	1784
1167	4813	1780
1168	4817	1776
1169	4821	1772
1170	4825	1767
1171	4829	1763
1172	4833	1759
1173	4837	1755
1174	4843	1751
1175	4847	1747
1176	4851	1743
1177	4855	1739
1178	4859	1735
1179	4863	1731
1180	4867	1727
1181	4872	1722
1182	4875	1718
1183	4879	1714
1184	4883	1710
1185	4887	1706
1186	4892	1702
1187	4895	1697
1188	4900	1693
1189	4904	1689
1190	4908	1685
1191	4912	1681
1192	4916	1677
1193	4920	1673
1194	4924	1668
1195	4928	1664
1196	4932	1660
1197	4936	1656
1198	4940	1652
1199	4944	1648
1200	4948	1643
1201	4952	1639
1202	4956	1635
1203	4960	1631
1204	4964	1627
1205	4968	1623
1206	4971	1618
1207	4975	1614
1208	4979	1610
1209	4983	1606
1210	4987	1602
1211	4991	1598
1212	4995	1593
1213	4999	1589
1214	5003	1585
1215	5007	1581
1216	5011	1577
1217	5015	1572
1218	5019	1568
1219	5023	1564
1220	5026	1560
1221	5030	1556
1222	5035	1552
1223	5040	1548
1224	5044	1544
1225	5048	1539
1226	5056	1537
1227	5061	1533
1228	5065	1529
1229	5070	1525
1230	5074	1521
1231	5078	1516
1232	5082	1512
1233	5086	1508
1234	5090	1504
1235	5094	1500
1236	5098	1496
1237	5102	1491
1238	5106	1487
1239	5110	1483
1240	5114	1479
1241	5118	1475
1242	5121	1471
1243	5125	1466
